City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,chuy,-33.6971,-53.4616,16.3,93,100,2.66,UY,1683496191
85,codrington,-38.2667,141.9667,11.95,73,100,5.23,AU,1683496388
86,xichang,27.8964,102.2634,15.86,79,48,0.52,CN,1683496389
87,hasaki,35.7333,140.8333,16.22,95,100,5.27,JP,1683496389
88,torbay,47.6666,-52.7314,8.65,65,75,7.72,CA,1683496165
89,mehamn,71.0357,27.8492,3.95,87,75,7.72,NO,1683496390
90,mahebourg,-20.4081,57.7,25.16,83,40,3.09,MU,1683496147
91,grand gaube,-20.0064,57.6608,25.22,78,16,7.59,MU,1683496275
92,smidovich,48.6,133.8167,11.98,42,48,2.57,RU,1683496391
93,gisborne,-38.6533,178.0042,17.88,79,60,2.28,NZ,1683496006
94,arraial do cabo,-22.9661,-42.0278,23.92,88,40,4.63,BR,1683496162
95,russell,32.3502,-85.1999,30.6,48,0,1.54,US,1683496172
96,rodeo,38.033,-122.2669,21.73,56,100,4.12,US,1683496392
97,arman,59.7,150.1667,1.8,84,31,2.01,RU,1683496392
98,omboue,-1.5746,9.2618,26.28,90,100,2.83,GA,1683496393
99,byron bay,-28.65,153.6167,12.06,47,0,6.15,AU,1683496393
100,santa cruz,-17.8,-63.1667,22.03,88,100,2.57,BO,1683496252
101,marsa matruh,31.3525,27.2453,18.11,82,40,4.63,EG,1683496393
102,broome,42.2506,-75.833,22.21,32,100,4.63,US,1683496394
103,gazli,40.1333,63.45,19.13,33,2,2.84,UZ,1683496394
104,pevek,69.7008,170.3133,-4.92,92,87,2.75,RU,1683496189
105,tasiilaq,65.6145,-37.6368,3.09,82,100,1.66,GL,1683496155
106,forio,40.7342,13.8646,19.18,71,49,0.89,IT,1683496395
107,geraldton,-28.7667,114.6,20.23,60,100,4.63,AU,1683496395
108,bathsheba,13.2167,-59.5167,28.34,78,40,5.66,BB,1683496154
109,yaan,7.3833,8.5667,24.59,77,96,4.61,NG,1683496396
110,colon,9.3592,-79.9014,27.29,78,100,5.32,PA,1683496397
